target platform,array size,data type,elapsed timel,sum result
cpu,100,float,0.000003,2.488494e-06
gpu,100,float,0.174842,0.000000e+00
cpu,100,double,0.000003,4.028028e-15
gpu,100,double,0.132240,5.551115e-17
cpu,1000,float,0.000037,1.874426e-05
gpu,1000,float,0.147590,3.814697e-06
cpu,1000,double,0.000036,1.394848e-14
gpu,1000,double,0.140216,-7.105427e-15
cpu,10000,float,0.000395,8.483295e-05
gpu,10000,float,0.144997,-2.670288e-05
cpu,10000,double,0.000379,4.063753e-13
gpu,10000,double,0.138891,3.907985e-14
cpu,100000,float,0.002155,6.499278e-04
gpu,100000,float,0.138120,-1.430511e-06
cpu,100000,double,0.001821,4.212963e-12
gpu,100000,double,0.131085,1.616485e-13
cpu,500000,float,0.009493,3.206484e-03
gpu,500000,float,0.144303,5.064011e-04
cpu,500000,double,0.009133,-3.207455e-11
gpu,500000,double,0.135278,-8.624212e-13
cpu,1000000,float,0.018982,5.953381e-03
gpu,1000000,float,0.141820,1.511097e-03
cpu,1000000,double,0.018259,-7.114349e-11
gpu,1000000,double,0.132863,-4.959144e-12
cpu,5000000,float,0.094966,-1.306051e-02
gpu,5000000,float,0.146296,-7.147402e-03
cpu,5000000,double,0.108203,-2.468173e-10
gpu,5000000,double,0.134744,-7.107531e-11
cpu,10000000,float,0.207859,9.783933e-02
gpu,10000000,float,0.143823,8.552551e-03
cpu,10000000,double,0.217012,1.614930e-11
gpu,10000000,double,0.148358,-1.192291e-11
cpu,50000000,float,1.036991,-3.124862e-01
gpu,50000000,float,0.152308,2.505779e-04
cpu,50000000,double,1.083509,4.249656e-10
gpu,50000000,double,0.154255,-2.742073e-11
cpu,100000000,float,2.068593,-7.994527e-01
gpu,100000000,float,0.184295,-6.749630e-04
cpu,100000000,double,2.158238,-4.646523e-09
gpu,100000000,double,0.184356,-4.906342e-11
cpu,500000000,float,10.428293,-6.710886e+07
gpu,500000000,float,0.267972,-4.281282e-03
cpu,500000000,double,10.778157,1.232767e-08
gpu,500000000,double,0.266203,-2.530196e-10
